date,Buster Posey,Brandon Belt,Melky Cabrera,Pablo Sandoval,Angel Pagan,Hunter Pence,Marco Scutaro,Gregor Blanco,Joaquin Arias,Ryan Theriot,Brandon Crawford,Hector Sanchez,Nate Schierholtz,Emmanuel Burriss,Brett Pill
04/06/12,2.51,0.9,3.38,2.18,1.28,0,0,0.9,0,0.9,0,0,0,0,0
04/07/12,1.255,0.805,2.14,2.945,0.64,0,0,0.45,0,0.45,0,0,0,0,1.05
04/08/12,2.073333333,0.536666667,1.726666667,2.51,0.426666667,0,0,0.726666667,0,0.3,0.663333333,0,0,0,0.936666667
04/09/12,1.555,0.4025,1.795,2.585,0.8175,0,0,0.7225,0,0.45,0.995,0.45,0,0,0.7025
04/11/12,1.244,0.464,1.872,2.58,0.796,0,0,0.72,0,0.36,1.396,0.54,0.84,0.59,0.562
04/12/12,1.186666667,0.386666667,2.041666667,2.3,0.813333333,0,0,0.6,0,0.3,1.526666667,0.45,0.7,0.491666667,0.741666667
04/13/12,1.301428571,0.331428571,2.144285714,2.154285714,0.697142857,0,0,0.514285714,0,0.257142857,1.308571429,0.385714286,0.784285714,0.421428571,0.635714286
04/14/12,1.13875,0.29,1.965,2.08625,1.04625,0,0,0.45,0,0.3375,1.2575,0.45,1.05,0.59375,0.55625
04/15/12,1.012222222,0.506666667,1.746666667,2.033333333,1.19,0,0,0.4,0,0.3,1.26,0.4,0.933333333,0.706666667,0.494444444
04/16/12,1.181,0.617,1.643,1.92,1.251,0,0,0.36,0,0.27,1.262,0.36,0.84,0.636,0.445
04/17/12,1.225,0.527,1.468,1.92,1.376,0,0,0.27,0,0.18,1.262,0.36,1.181,0.822,0.445
04/18/12,1.315,0.546,1.648,1.639,1.466,0,0,0.27,0,0.27,1.262,0.36,1.181,0.822,0.363
04/20/12,1.162,0.546,1.905,1.655,1.676,0,0,0.142,0,0.27,1.063,0.54,1.252,0.983,0.292
04/21/12,1.342,0.674,1.776,1.464,1.695,0,0,0.071,0,0.18,0.864,0.36,1.413,1.163,0.292
04/22/12,1.623,0.731,1.725,1.388,1.714,0,0,0.142,0,0.18,0.731,0.27,1.481,0.958,0.382
